imdb_title_id,original_title,release_year,genre,duration,country,content_rating,director,income,votes,score,income_log
tt0361748,Inglourious Basterds,2009-10-02,"Adventure, Drama, War",153.0,Germany,R,Quentin Tarantino,321455689,1229958,8.0,19.588370269437462
tt0169547,American Beauty,2000-01-21,Drama,122.0,USA,R,Sam Mendes,356296601,1049009,8.0,19.691274093623488
tt0112573,Braveheart,1995-12-01,"Biography, Drama, History",178.0,USA,R,Mel Gibson,213216216,941683,7.9,19.177817312091143
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983-10-21,"Action, Adventure, Fantasy",131.0,USA,PG,Richard Marquand,475347111,928036,7.9,19.97955585722756
tt0105236,Reservoir Dogs,1992-10-09,"Crime, Drama, Thriller",99.0,USA,R,Quentin Tarantino,2889963,896551,7.9,14.876754603263624
tt0338013,Eternal Sunshine of the Spotless Mind,2004-10-22,"Drama, Romance, Sci-Fi",108.0,USA,R,Michel Gondry,74036715,889875,7.9,18.12007169028286
tt0114709,Toy Story,1996-03-22,"Animation, Adventure, Comedy",81.0,USA,G,John Lasseter,404265438,864461,7.9,19.817582247405255
tt0119217,Good Will Hunting,1998-03-06,"Drama, Romance",126.0,USA,R,Gus Van Sant,225933435,837379,7.8,19.235750982880344
tt0208092,Snatch,2001-03-16,"Comedy, Crime",104.0,United Kingdom,R,Guy Ritchie,83557872,766589,7.8,18.241050039565618
tt0180093,Requiem for a Dream,2000-12-15,Drama,102.0,USA,R,Darren Aronofsky,7390108,748291,7.8,15.815653042477315
tt0066921,A Clockwork Orange,1972-09-07,"Crime, Drama, Sci-Fi",136.0,United Kingdom,Unknown,Stanley Kubrick,26903440,740301,7.8,17.107764754606844
tt0435761,Toy Story 3,2010-07-07,"Animation, Adventure, Comedy",103.0,USA,G,Lee Unkrich,1066969703,739717,7.8,20.78808841523593
tt0211915,Le fabuleux destin d'Am̩lie Poulain,2002-01-25,"Comedy, Romance",122.0,France,R,Jean-Pierre Jeunet,173924742,690480,7.7,18.974133252124474
tt0093058,Full Metal Jacket,1987-10-09,"Drama, War",116.0,United Kingdom,Unknown,Stanley Kubrick,46357676,658175,7.7,17.651897467328787
tt0090605,Aliens,1986-09-24,"Action, Adventure, Sci-Fi",137.0,USA,R,James Cameron,131384634,639500,7.7,18.693639724148664
tt0062622,2001: A Space Odyssey,1968-12-12,"Adventure, Sci-Fi",149.0,United Kingdom,G,Stanley Kubrick,68989547,587866,7.6,18.049465572826673
